tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.750000000000007192e-03
2.000000000000000000e+00,1.000000000000000000e+00,-2.500000000000035614e-03
3.000000000000000000e+00,1.000000000000000000e+00,-4.000000000000092024e-03
4.000000000000000000e+00,1.000000000000000000e+00,-2.500000000000035614e-03
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
1.100000000000000000e+01,1.000000000000000000e+00,7.500000000000284217e-04
1.200000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
1.300000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
1.400000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
1.500000000000000000e+01,1.000000000000000000e+00,5.499999999999971925e-03
1.600000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.700000000000000000e+01,1.000000000000000000e+00,2.249999999999907456e-03
1.800000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
1.900000000000000000e+01,1.000000000000000000e+00,7.500000000000284217e-04
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
2.200000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.300000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.400000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.600000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.700000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.800000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.900000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
3.000000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
3.100000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
3.200000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
3.300000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
3.400000000000000000e+01,1.000000000000000000e+00,1.349999999999997903e-02
3.500000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
3.600000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
