t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,6.500000000000001421e+01,2.667131305343175285e+01,3.832868694648044539e+01,8.780256008469641983e-11,0.000000000000000000e+00,5.429999999999999716e+01,3.390571758287315163e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.087884581694577690e+02,-4.378845816972810212e+01,2.703314813783154028e-10,0.000000000000000000e+00,5.429999999999999716e+01,3.398901121963352523e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.083441480371788259e+02,-4.334414803717736220e+01,-1.462678908642160245e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.407185418063438931e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.079022419277533658e+02,-4.290224192775190915e+01,-1.454764812177876669e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.415424890434071870e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.074627268337688690e+02,-4.246272683376741952e+01,-1.446893535780741578e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.423619781602401702e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,6.500000000000001421e+01,1.070255898181902126e+02,-4.202558981818877015e+01,-1.439064848392990323e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.431770332783342781e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,6.499999999999998579e+01,1.065908180139804102e+02,-4.159081801397898204e+01,-1.431278519579260973e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.439876783886664668e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.061583986237223485e+02,-4.115839862372092739e+01,-1.423534320149445368e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.447939373524064877e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.057283189192414312e+02,-4.072831891924001724e+01,-1.415832022155445421e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.455958339016189029e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.053005662412312091e+02,-4.030056624122980224e+01,-1.408171398881938828e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.463933916399611235e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,6.499999999999998579e+01,1.048751279988809699e+02,-3.987512799887957016e+01,-1.400552224839393066e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.471866340433787457e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.044519916695048067e+02,-3.945199166950341407e+01,-1.392974275759322838e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.479755844607964832e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,6.500000000000001421e+01,1.040311447981731163e+02,-3.903114479817173077e+01,-1.385437328586554235e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.487602661148051197e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.036125749973461438e+02,-3.861257499734476539e+01,-1.377941161472238134e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.495407021023454774e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.031962699465090765e+02,-3.819626994650770513e+01,-1.370485553768608219e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.503169153953879800e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.027822173918096524e+02,-3.778221739180828820e+01,-1.363070286021245959e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.510889288416089471e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,6.500000000000001421e+01,1.023704051456972905e+02,-3.737040514569593341e+01,-1.355695139963341228e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.518567651650631944e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.019608210865643940e+02,-3.696082108656304399e+01,-1.348359898509202901e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.526204469668523700e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.015534531583898428e+02,-3.655345315838849984e+01,-1.341064345746773232e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.533799967257911590e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.011482893703835373e+02,-3.614828937038220147e+01,-1.333808266933884332e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.541354367990683727e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,6.500000000000001421e+01,1.007453177966338558e+02,-3.574531779663252706e+01,-1.326591448489274098e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.548867894229044850e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.003445265757568450e+02,-3.534452657575552337e+01,-1.319413677986348224e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.558839576234888114e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.981261087086261341e+01,-3.481261087086086548e+01,-1.751078416930118786e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.568757304595067126e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+00,6.499999999999998579e+01,9.928357319511614776e+01,-3.428357319511440693e+01,-1.741603880500665837e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.578621371235841764e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.875739797640412121e+01,-3.375739797640238748e+01,-1.732180607816142638e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.588432066503952456e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.823406972686892402e+01,-3.323406972686720451e+01,-1.722808321505863328e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.598189679175169431e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+00,6.499999999999998579e+01,9.771357304245259456e+01,-3.271357304245088216e+01,-1.713486745699417257e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.607894496462783707e+01,5.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.719589260244396201e+01,-3.219589260244225670e+01,-1.704215606017454277e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.617546804026068230e+01,5.000000000000000000e+01
2.800000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.668101316902722431e+01,-3.168101316902552966e+01,-1.694994629566445194e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.627146885978682178e+01,5.000000000000000000e+01
2.900000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.616891958683369523e+01,-3.116891958683200770e+01,-1.685823544928697644e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.636695024897032624e+01,5.000000000000000000e+01
3.000000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.565959678249573983e+01,-3.065959678249406295e+01,-1.676702082154871476e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.646191501828599257e+01,5.000000000000000000e+01
3.100000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.515302976420272785e+01,-3.015302976420106162e+01,-1.667629972757489347e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.655636596300196572e+01,5.000000000000000000e+01
3.200000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.464920362126029829e+01,-2.964920362125863917e+01,-1.658606949699957191e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.665030586326209061e+01,5.000000000000000000e+01
3.300000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.414810352365111612e+01,-2.914810352364946766e+01,-1.649632747391822871e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.674373748416775243e+01,5.000000000000000000e+01
3.400000000000000000e+01,1.000000000000000000e+00,6.500000000000001421e+01,9.364971472159821531e+01,-2.864971472159657395e+01,-1.640707101679791299e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.683666357585920537e+01,5.000000000000000000e+01
3.500000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.315402254513129776e+01,-2.815402254512966707e+01,-1.631829749838741768e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.692908687359656028e+01,5.000000000000000000e+01
3.600000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.266101240365458125e+01,-2.766101240365295766e+01,-1.623000430565738767e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.702101009784030339e+01,5.000000000000000000e+01
3.700000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.217066978551744683e+01,-2.717066978551583389e+01,-1.614218883971795318e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.711243595433136022e+01,5.000000000000000000e+01
3.800000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.168298025758723213e+01,-2.668298025758562630e+01,-1.605484851573889753e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.720336713417073327e+01,5.000000000000000000e+01
3.900000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.119792946482446894e+01,-2.619792946482287377e+01,-1.596798076287477059e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.729380631389874168e+01,5.000000000000000000e+01
4.000000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.071550312986020970e+01,-2.571550312985862163e+01,-1.588158302419502886e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.738375615557374942e+01,5.000000000000000000e+01
4.100000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,9.023568705257605416e+01,-2.523568705257447320e+01,-1.579565275659419056e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.747321930685059499e+01,5.000000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+00,6.499999999999998579e+01,8.975846710968581021e+01,-2.475846710968423992e+01,-1.571018743073943414e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.756219840105845265e+01,5.000000000000000000e+01
