t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.276478878668533525e+02,-6.264788786727357461e+01,4.202197065307522157e-10,0.000000000000000000e+00,5.429999999999999716e+01,2.251000000000000156e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.275274274504958356e+02,-6.252742745049543771e+01,-3.965583879189724901e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.253999999999999915e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.276478878668533525e+02,-6.264788786685375044e+01,3.965583893010396809e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.251000000000000156e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.274069670341383045e+02,-6.240696703413750868e+01,-7.931167786034318102e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.257000000000000028e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.272463531456616153e+02,-6.224635314566108946e+01,-5.287445190724358612e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.260999999999999943e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.267243580081123611e+02,-6.172435800811064155e+01,-1.718419686978694949e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.273999999999999844e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.264834371753973130e+02,-6.148343717539651720e+01,-7.931167786104413379e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.280000000000000071e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.263629767590397961e+02,-6.136297675903939819e+01,-3.965583893049561166e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.282999999999999829e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.263629767590397961e+02,-6.136297675903979609e+01,-1.305479101619422315e-24,0.000000000000000000e+00,5.429999999999999716e+01,2.282999999999999829e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.263629767590397961e+02,-6.136297675903979609e+01,-4.297666448948718011e-36,0.000000000000000000e+00,5.429999999999999716e+01,2.282999999999999829e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.260819024542055757e+02,-6.108190245420465203e+01,-9.253029083722170502e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.289999999999999858e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,6.499999999999998579e+01,1.253189864839412735e+02,-6.031898648393876528e+01,-2.511536465584784703e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.308999999999999986e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.255599073166563073e+02,-6.055990731665710314e+01,7.931167785964692355e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.303000000000000114e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.251985260675837566e+02,-6.019852606758256996e+01,-1.189675167904518495e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.312000000000000099e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.250780656512262397e+02,-6.007806565122584175e+01,-3.965583893062616120e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.314999999999999858e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.250780656512262397e+02,-6.007806565122623965e+01,-1.305479101623720033e-24,0.000000000000000000e+00,5.429999999999999716e+01,2.314999999999999858e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.247969913463920193e+02,-5.979699134639109559e+01,-9.253029083722170502e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.321999999999999886e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,6.499999999999998579e+01,1.240340753761277170e+02,-5.903407537612520883e+01,-2.511536465584784703e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.341000000000000014e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.237530010712934967e+02,-5.875300107129257299e+01,-9.253029083804850193e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.348000000000000043e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.237530010712934967e+02,-5.875300107129349669e+01,-3.046117903786072500e-24,0.000000000000000000e+00,5.429999999999999716e+01,2.348000000000000043e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.231105455173867114e+02,-5.811054551738459395e+01,-2.114978076279346334e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.364000000000000057e+01,5.000000000000000000e+01
